903   0.000000 __libc_start_main(0x401f50, 2, 0x7fff89dd5dc8, 0x406b90, 0x406c20 <unfinished ...>
903   0.000082 __strcat_chk(0x7fffaaace760, 0x407811, 4126, 0, 0x7fffaaace784)                                  = 0x7fffaaace760
903   0.000071 __strcat_chk(0x7fffaaace760, 0x407236, 4126, 0, 0x7fffaaace789)                                  = 0x7fffaaace760
903   0.000067 fopen("/usr/lib/jvm/java-6-openjdk-amd6"..., "r")                                                = 0x121a090
903   0.000120 fgets("", 85504073, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000134 fgets("", 85504137, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000063 fgets("", 85504139, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000078 fgets("", 85504210, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000076 fgets("", 85504281, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000064 fgets("", 85504350, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000061 fgets("", 85504420, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000093 fgets("", 85504480, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000076 fgets("", 85504482, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000064 fgets("", 85504557, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000062 fgets("", 85504629, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000077 fgets("", 85504701, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000075 fgets("", 85504775, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000063 fgets("", 85504801, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000062 fgets("", 85504803, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000060 fgets("", 85504879, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000080 fgets("", 85504952, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000074 fgets("", 85505016, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000064 fgets("", 85505018, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000061 fgets("", 85505092, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000076 fgets("", 85505165, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000065 fgets("", 85505178, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000077 fgets("", 85505180, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000061 fgets("", 85505183, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000086 fgets("", 85505249, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000106 fgets("", 85505312, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000077 fgets("", 85505379, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000074 fgets("", 85505415, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000068 fgets("", 85505417, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000077 fgets("", 85505479, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000062 fgets("", 85505539, 0x121a170)                                                                   = 0x7fffaaacf780
903   0.000085 fgets("", 85505587, 0x121a170)                                                                   = 0x7fffaaacf780
