454   0.000000 __libc_start_main(0x401f50, 2, 0x7fff637b0c48, 0x406b90, 0x406c20 <unfinished ...>
454   0.000063 strcspn("-native ERROR", " \t")                                                                  = 7
454   0.000058 strspn("ERROR", " \t")                                                                           = 0
454   0.000058 JLI_StringDup(0x7fff915a9620, 0x7fff915a962d, 0x1858350, 0, 0)                                   = 0x18584a0
454   0.000069 fgets("", 780138122, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000062 strcspn("-green ERROR", " \t")                                                                   = 6
454   0.000059 strspn("ERROR", " \t")                                                                           = 0
454   0.000057 JLI_StringDup(0x7fff915a9620, 0x7fff915a962c, 0x1858370, 0, 0)                                   = 0x18584c0
454   0.000069 fgets("", 780138135, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000062 strcspn("-jamvm KNOWN", " \t")                                                                   = 6
454   0.000058 strspn("KNOWN", " \t")                                                                           = 0
454   0.000058 JLI_StringDup(0x7fff915a9620, 0x7fff915a962c, 0x1858390, 0, 0)                                   = 0x18584e0
454   0.000069 fgets("", 780138148, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000061 strcspn("-cacao KNOWN", " \t")                                                                   = 6
454   0.000058 strspn("KNOWN", " \t")                                                                           = 0
454   0.000057 JLI_StringDup(0x7fff915a9620, 0x7fff915a962c, 0x18583b0, 0, 0)                                   = 0x1858500
454   0.000069 fgets("", 780138160, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000061 strcspn("-zero KNOWN", " \t")                                                                    = 5
454   0.000058 strspn("KNOWN", " \t")                                                                           = 0
454   0.000057 JLI_StringDup(0x7fff915a9620, 0x7fff915a962b, 0x18583d0, 0, 0)                                   = 0x1858520
454   0.000068 fgets("", 780138173, 0x1858170)                                                                  = 0x7fff915a9620
454   0.000062 strcspn("-shark ERROR", " \t")                                                                   = 6
454   0.000066 strspn("ERROR", " \t")                                                                           = 0
454   0.000058 JLI_StringDup(0x7fff915a9620, 0x7fff915a962c, 0x18583f0, 0, 0)                                   = 0x1858540
454   0.000068 fgets("\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377"..., 780136448, 0x1858170) = NULL
454   0.000083 fclose(0x1858090)                                                                                = 0
454   0.000109 getenv("JDK_ALTERNATE_VM")                                                                       = NULL
454   0.000063 JLI_MemAlloc(24, 0xffffff80, 7, 74, 0x7fcc2e7f4700)                                              = 0x1858090
454   0.000096 strchr("server", '/')                                                                            = NULL
454   0.000088 __sprintf_chk(0x7fff915ac8d0, 1, -1, 0x4078da, 0x7fff915ab8d0)                                   = 64
454   0.000072 __xstat(1, "/usr/lib/jvm/java-6-openjdk-amd6"..., 0x7fff915aa6e0)                                = 0
454   0.000086 getenv("LD_LIBRARY_PATH")                                                                        = "/usr/lib/jvm/java-6-openjdk-amd6"...
454   0.000067 getgid()                                                                                         = 1000
454   0.000069 getegid()                                                                                        = 1000
454   0.000065 getuid()                                                                                         = 1000
454   0.000064 geteuid()                                                                                        = 1000
454   0.000064 JLI_StringDup(0x7fff915ac8d0, 0x407911, 13, -1, 0x7fff915ac906)                                  = 0x18580b0
454   0.000070 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 153
454   0.000131 strlen("amd64")                                                                                  = 5
454   0.000058 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 37
454   0.000060 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 64
454   0.000061 JLI_MemAlloc(353, 0x7fff915ac911, 0, 48, 0x2f3436646d612f62)                                     = 0x1858100
454   0.000069 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/libjvm.so"
454   0.000066 __sprintf_chk(0x1858100, 1, -1, 0x407b90, 0x18580b0)                                             = 169
