20973   0.000000 __libc_start_main(0x401f50, 2, 0x7fffacba4bc8, 0x406b90, 0x406c20 <unfinished ...>
20973   0.000065 strncmp("/persistmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 12)                             = -5
20973   0.000061 strlen("/rofs/")                                                                               = 6
20973   0.000054 strncmp("/rofs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                    = -3
20973   0.000089 strlen("/rwfs/")                                                                               = 6
20973   0.000057 strncmp("/rwfs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                    = -3
20973   0.000060 strlen("/squashmnt/")                                                                          = 11
20973   0.000055 strncmp("/squashmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 11)                              = -2
20973   0.000061 JLI_StringDup(0x7fff92cfecc0, 0x7fff92cfecc0, 1, 117, 65535)                                   = 0x2174030
20973   0.000075 JLI_MemAlloc(24, 0x7fff92cfecef, 0x7fff92cffe8c, 0x6176616a2f6e69, 0x76616a2f6d766a2f)         = 0x2174070
20973   0.000156 strncpy(0x7fff92d00f60, "/usr/lib/jvm/java-6-openjdk-amd6"..., 4095)                           = 0x7fff92d00f60
20973   0.000129 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/java"
20973   0.000099 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 41
20973   0.000061 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/bin"
20973   0.000061 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/bin"
20973   0.000061 __sprintf_chk(0x7fff92cfecd0, 1, 4096, 0x40788e, 0x7fff92d00f60)                               = 58
20973   0.000083 access("/usr/lib/jvm/java-6-openjdk-amd6"..., 0)                                               = 0
20973   0.000090 __strcpy_chk(0x7fff92cfdc90, 0x7fff92d00f60, 4126, -1, 0x7fff92cfecff)                         = 0x7fff92cfdc90
20973   0.000077 __strcat_chk(0x7fff92cfdc90, 0x407230, 4126, 0, 0xfefefefefefefeff)                            = 0x7fff92cfdc90
20973   0.000069 __strcat_chk(0x7fff92cfdc90, 0x407811, 4126, 0, 0x7fff92cfdcb4)                                = 0x7fff92cfdc90
20973   0.000067 __strcat_chk(0x7fff92cfdc90, 0x407236, 4126, 0, 0x7fff92cfdcb9)                                = 0x7fff92cfdc90
20973   0.000066 fopen("/usr/lib/jvm/java-6-openjdk-amd6"..., "r")                                              = 0x2174090
20973   0.000101 fgets("", -734810039, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000116 fgets("", -734809975, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000059 fgets("", -734809973, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000059 fgets("", -734809902, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734809831, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734809762, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000059 fgets("", -734809692, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000064 fgets("", -734809632, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000060 fgets("", -734809630, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000057 fgets("", -734809555, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734809483, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734809411, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734809337, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734809311, 0x2174170)                                                               = 0x7fff92cfecb0
20973   0.000058 fgets("", -734809309, 0x2174170)                                                               = 0x7fff92cfecb0
