7077   0.000000 __libc_start_main(0x401f50, 2, 0x7fff86b7a4c8, 0x406b90, 0x406c20 <unfinished ...>
7077   0.000068 strchr("server", '/')                                                                           = NULL
7077   0.000064 __sprintf_chk(0x7fff05fb8f20, 1, -1, 0x4078da, 0x7fff05fb7f20)                                  = 64
7077   0.000070 __xstat(1, "/usr/lib/jvm/java-6-openjdk-amd6"..., 0x7fff05fb6d30)                               = 0
7077   0.000082 getenv("LD_LIBRARY_PATH")                                                                       = "/usr/lib/jvm/java-6-openjdk-amd6"...
7077   0.000065 getgid()                                                                                        = 1000
7077   0.000094 getegid()                                                                                       = 1000
7077   0.000066 getuid()                                                                                        = 1000
7077   0.000064 geteuid()                                                                                       = 1000
7077   0.000064 JLI_StringDup(0x7fff05fb8f20, 0x407911, 13, -1, 0x7fff05fb8f56)                                 = 0x7aa0b0
7077   0.000068 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                   = 153
7077   0.000062 strlen("amd64")                                                                                 = 5
7077   0.000055 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                   = 37
7077   0.000058 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                   = 64
7077   0.000059 JLI_MemAlloc(353, 0x7fff05fb8f61, 0, 48, 0x2f3436646d612f62)                                    = 0x7aa100
7077   0.000068 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                             = "/libjvm.so"
7077   0.000064 __sprintf_chk(0x7aa100, 1, -1, 0x407b90, 0x7aa0b0)                                              = 169
7077   0.000069 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                   = 153
7077   0.000062 strncmp("/usr/lib/jvm/java-6-openjdk-amd6"..., "/usr/lib/jvm/java-6-openjdk-amd6"..., 153)      = 0
7077   0.000066 dlopen("/usr/lib/jvm/java-6-openjdk-amd6"..., 258)                                              = 0x007aa5b0
7077   0.003571 dlsym(0x007aa5b0, "JNI_CreateJavaVM")                                                           = 0x7fdbde20a1e0
7077   0.000087 dlsym(0x007aa5b0, "JNI_GetDefaultJavaVMInitArgs")                                               = 0x7fdbde20a1a0
7077   0.000073 getenv("CLASSPATH")                                                                             = NULL
7077   0.000062 JLI_WildcardExpandClasspath(0x40790d, 0x407075, 0x40790d, 65, 65535)                            = 0x40790d
7077   0.000077 strlen(".")                                                                                     = 1
7077   0.000058 JLI_MemAlloc(41, 0, 1, 13, 0x407900)                                                            = 0x7ac900
7077   0.000067 __sprintf_chk(0x7ac900, 1, -1, 0x406f36, 0x40790d)                                              = 19
7077   0.000070 JLI_MemAlloc(64, 0, 0x7ac913, 0, 0x406f4a)                                                      = 0x7ac940
7077   0.000068 JLI_StrCCmp(0x7ac900, 0x406d53, 0, 2, 5)                                                        = 0xffffffec
7077   0.000083 JLI_MemAlloc(33, -1, 0, 14, 5)                                                                  = 0x7ac990
7077   0.000110 strcat("-Dsun.java.command=", "NonConcurrent")                                                  = "-Dsun.java.command=NonConcurrent"
7077   0.000106 JLI_StrCCmp(0x7ac990, 0x406d53, 16, 2, 3)                                                       = 0xffffffec
7077   0.000068 JLI_StrCCmp(0x407628, 0x406d53, 32, 2, 3)                                                       = 0xffffffec
7077   0.000067 JLI_MemAlloc(45, 0x406d53, 1, 88, 3)                                                            = 0x7ac9c0
7077   0.000095 getpid()                                                                                        = 7077
7077   0.000057 __sprintf_chk(0x7ac9c0, 1, -1, 0x407a3f, 0x407a26)                                              = 28
7077   0.000072 JLI_StrCCmp(0x7ac9c0, 0x406d53, 48, 2, 0x407a43)                                                = 0xffffffec
7077   0.000067 getenv("_JAVA_SPLASH_JAR")                                                                      = NULL
7077   0.000060 getenv("_JAVA_SPLASH_FILE")                                                                     = NULL
7077   0.000058 strchr("_JAVA_VERSION_SET", '=')                                                                = NULL
7077   0.000058 strchr("_JAVA_SPLASH_FILE", '=')                                                                = NULL
7077   0.000057 strchr("_JAVA_SPLASH_JAR", '=')                                                                 = NULL
7077   0.000057 JLI_MemFree(0, 0, 76, 95, 0x7fdbdef4a548)                                                       = 0
7077   0.000067 JLI_MemFree(0, 0, 76, 95, 0x7fdbdef4a548)                                                       = 0
7077   0.000073 pthread_attr_init(0x7fff05fb6d90, 0x100000, 0x7fff05fb6eb0, 0, 0x7fdbdef4a548)                  = 0
7077   0.000078 pthread_attr_setdetachstate(0x7fff05fb6d90, 0, 0, 0, 0x7fdbdef4a548)                            = 0
7077   0.000069 pthread_attr_setstacksize(0x7fff05fb6d90, 0x100000, 0, 0, 0x7fdbdef4a548)                       = 0
7077   0.000072 pthread_create(0x7fff05fb6d80, 0x7fff05fb6d90, 0x403d70, 0x7fff05fb6eb0, 0x7fdbdef4a548)        = 0
7077   0.000221 pthread_join(0x7fdbdf786700, 0x7fff05fb6d88, 0x7fdbdf7869d0, -1, 0x7fdbdf786700 <unfinished ...>
7078   0.255099 JLI_MemFree(0x7ac940, 0, 0x7fdbde958bb8, -1, 0x7fdbde972c80)                                    = 0
7078   0.000157 JLI_MemFree(0x7aa420, 10, 0, 0x7fdbdef47740, 0x7fdbde972c80)                                    = 0x7ac700
