20845   0.000000 __libc_start_main(0x401f50, 2, 0x7fff5af84578, 0x406b90, 0x406c20 <unfinished ...>
20845   0.000064 JLI_MemAlloc(24, 0x7fffc0cfdcb8, 8, 95, 0x406c20)                                              = 0x17b6010
20845   0.000148 JLI_FreeManifest(0, 0x17b6020, 0x7fffc0cfdcc0, 0, 3)                                           = 0x7fffc0cffd06
20845   0.000082 JLI_MemFree(0x17b6010, 0x17b6020, 0x7fffc0cfdcc0, 0, 3)                                        = 0
20845   0.000076 JLI_MemAlloc(24, 0xffffffff, 0, 0x7f3167b2a728, 3)                                             = 0x17b6010
20845   0.000074 readlink(0x4077db, 0x7fffc0cf98f0, 4096, 4096, 0x7fffc0cfcb90)                                 = 46
20845   0.000113 strncmp("/cow/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 5)                                     = -18
20845   0.000072 strlen("/persistmnt/")                                                                         = 12
20845   0.000065 strncmp("/persistmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 12)                             = -5
20845   0.000062 strlen("/rofs/")                                                                               = 6
20845   0.000054 strncmp("/rofs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                    = -3
20845   0.000062 strlen("/rwfs/")                                                                               = 6
20845   0.000054 strncmp("/rwfs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                    = -3
20845   0.000059 strlen("/squashmnt/")                                                                          = 11
20845   0.000055 strncmp("/squashmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 11)                              = -2
20845   0.000061 JLI_StringDup(0x7fffc0cf98f0, 0x7fffc0cf98f0, 1, 117, 65535)                                   = 0x17b6030
20845   0.000075 JLI_MemAlloc(24, 0x7fffc0cf991f, 0x7fffc0cfaabc, 0x6176616a2f6e69, 0x76616a2f6d766a2f)         = 0x17b6070
20845   0.000069 strncpy(0x7fffc0cfbb90, "/usr/lib/jvm/java-6-openjdk-amd6"..., 4095)                           = 0x7fffc0cfbb90
20845   0.000071 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/java"
20845   0.000065 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 41
20845   0.000059 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/bin"
20845   0.000061 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/bin"
20845   0.000060 __sprintf_chk(0x7fffc0cf9900, 1, 4096, 0x40788e, 0x7fffc0cfbb90)                               = 58
20845   0.000087 access("/usr/lib/jvm/java-6-openjdk-amd6"..., 0)                                               = 0
20845   0.000087 __strcpy_chk(0x7fffc0cf88c0, 0x7fffc0cfbb90, 4126, -1, 0x7fffc0cf992f)                         = 0x7fffc0cf88c0
20845   0.000078 __strcat_chk(0x7fffc0cf88c0, 0x407230, 4126, 0, 0xfefefefefefefeff)                            = 0x7fffc0cf88c0
20845   0.000070 __strcat_chk(0x7fffc0cf88c0, 0x407811, 4126, 0, 0x7fffc0cf88e4)                                = 0x7fffc0cf88c0
20845   0.000067 __strcat_chk(0x7fffc0cf88c0, 0x407236, 4126, 0, 0x7fffc0cf88e9)                                = 0x7fffc0cf88c0
20845   0.000067 fopen("/usr/lib/jvm/java-6-openjdk-amd6"..., "r")                                              = 0x17b6090
20845   0.000100 fgets("", 1748459593, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000119 fgets("", 1748459657, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000060 fgets("", 1748459659, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000060 fgets("", 1748459730, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748459801, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748459870, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000058 fgets("", 1748459940, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000065 fgets("", 1748460000, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000062 fgets("", 1748460002, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000058 fgets("", 1748460077, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000058 fgets("", 1748460149, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748460221, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000058 fgets("", 1748460295, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748460321, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000058 fgets("", 1748460323, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748460399, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000094 fgets("", 1748460472, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000095 fgets("", 1748460536, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000060 fgets("", 1748460538, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748460612, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748460685, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748460698, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748460700, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000058 fgets("", 1748460703, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000058 fgets("", 1748460769, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748460832, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748460899, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748460935, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000058 fgets("", 1748460937, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748460999, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000058 fgets("", 1748461059, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748461107, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748461109, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 fgets("", 1748461123, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000059 JLI_MemAlloc(320, 0x7f3168376643, 0, 0x7fffc0cf98e0, 1)                                        = 0x17b62d0
20845   0.000068 JLI_MemFree(0, 134464, 0x7f3167b2a720, 0x400000, 3)                                            = 0
20845   0.000066 strcspn("-server KNOWN", " \t")                                                                = 7
20845   0.000065 strspn("KNOWN", " \t")                                                                         = 0
20845   0.000060 JLI_StringDup(0x7fffc0cf98e0, 0x7fffc0cf98ed, 0x17b62d0, 0, 0)                                 = 0x17b6420
20845   0.000075 fgets("", 1748461138, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000062 strcspn("-client IGNORE", " \t")                                                               = 7
20845   0.000057 strspn("IGNORE", " \t")                                                                        = 0
20845   0.000055 JLI_StringDup(0x7fffc0cf98e0, 0x7fffc0cf98ee, 0x17b62f0, 0, 0)                                 = 0x17b6440
20845   0.000067 fgets("", 1748461153, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000060 strcspn("-hotspot ERROR", " \t")                                                               = 8
20845   0.000056 strspn("ERROR", " \t")                                                                         = 0
20845   0.000055 JLI_StringDup(0x7fffc0cf98e0, 0x7fffc0cf98ee, 0x17b6310, 0, 0)                                 = 0x17b6460
20845   0.000067 fgets("", 1748461167, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000060 strcspn("-classic WARN", " \t")                                                                = 8
20845   0.000057 strspn("WARN", " \t")                                                                          = 0
20845   0.000055 JLI_StringDup(0x7fffc0cf98e0, 0x7fffc0cf98ed, 0x17b6330, 0, 0)                                 = 0x17b6480
20845   0.000066 fgets("", 1748461181, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000060 strcspn("-native ERROR", " \t")                                                                = 7
20845   0.000057 strspn("ERROR", " \t")                                                                         = 0
20845   0.000055 JLI_StringDup(0x7fffc0cf98e0, 0x7fffc0cf98ed, 0x17b6350, 0, 0)                                 = 0x17b64a0
20845   0.000067 fgets("", 1748461194, 0x17b6170)                                                               = 0x7fffc0cf98e0
20845   0.000060 strcspn("-green ERROR", " \t")                                                                 = 6
20845   0.000057 strspn("ERROR", " \t")                                                                         = 0
20845   0.000055 JLI_StringDup(0x7fffc0cf98e0, 0x7fffc0cf98ec, 0x17b6370, 0, 0)                                 = 0x17b64c0
20845   0.000067 fgets("", 1748461207, 0x17b6170)                                                               = 0x7fffc0cf98e0
