849   0.000000 __libc_start_main(0x401f50, 2, 0x7fff1fd2cc98, 0x406b90, 0x406c20 <unfinished ...>
849   0.000060 JLI_StringDup(0x7fff7dddfdd0, 0x7fff7dddfddd, 0x13362d0, 0, 0)                                   = 0x1336420
849   0.000104 fgets("", -1895557550, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000064 strcspn("-client IGNORE", " \t")                                                                 = 7
849   0.000059 strspn("IGNORE", " \t")                                                                          = 0
849   0.000057 JLI_StringDup(0x7fff7dddfdd0, 0x7fff7dddfdde, 0x13362f0, 0, 0)                                   = 0x1336440
849   0.000069 fgets("", -1895557535, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000061 strcspn("-hotspot ERROR", " \t")                                                                 = 8
849   0.000058 strspn("ERROR", " \t")                                                                           = 0
849   0.000057 JLI_StringDup(0x7fff7dddfdd0, 0x7fff7dddfdde, 0x1336310, 0, 0)                                   = 0x1336460
849   0.000068 fgets("", -1895557521, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000061 strcspn("-classic WARN", " \t")                                                                  = 8
849   0.000059 strspn("WARN", " \t")                                                                            = 0
849   0.000056 JLI_StringDup(0x7fff7dddfdd0, 0x7fff7dddfddd, 0x1336330, 0, 0)                                   = 0x1336480
849   0.000068 fgets("", -1895557507, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000061 strcspn("-native ERROR", " \t")                                                                  = 7
849   0.000058 strspn("ERROR", " \t")                                                                           = 0
849   0.000057 JLI_StringDup(0x7fff7dddfdd0, 0x7fff7dddfddd, 0x1336350, 0, 0)                                   = 0x13364a0
849   0.000068 fgets("", -1895557494, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000061 strcspn("-green ERROR", " \t")                                                                   = 6
849   0.000058 strspn("ERROR", " \t")                                                                           = 0
849   0.000057 JLI_StringDup(0x7fff7dddfdd0, 0x7fff7dddfddc, 0x1336370, 0, 0)                                   = 0x13364c0
849   0.000067 fgets("", -1895557481, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000062 strcspn("-jamvm KNOWN", " \t")                                                                   = 6
849   0.000058 strspn("KNOWN", " \t")                                                                           = 0
849   0.000057 JLI_StringDup(0x7fff7dddfdd0, 0x7fff7dddfddc, 0x1336390, 0, 0)                                   = 0x13364e0
849   0.000067 fgets("", -1895557468, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000061 strcspn("-cacao KNOWN", " \t")                                                                   = 6
849   0.000059 strspn("KNOWN", " \t")                                                                           = 0
849   0.000056 JLI_StringDup(0x7fff7dddfdd0, 0x7fff7dddfddc, 0x13363b0, 0, 0)                                   = 0x1336500
849   0.000068 fgets("", -1895557456, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000061 strcspn("-zero KNOWN", " \t")                                                                    = 5
849   0.000059 strspn("KNOWN", " \t")                                                                           = 0
849   0.000056 JLI_StringDup(0x7fff7dddfdd0, 0x7fff7dddfddb, 0x13363d0, 0, 0)                                   = 0x1336520
849   0.000068 fgets("", -1895557443, 0x1336170)                                                                = 0x7fff7dddfdd0
849   0.000062 strcspn("-shark ERROR", " \t")                                                                   = 6
849   0.000065 strspn("ERROR", " \t")                                                                           = 0
849   0.000058 JLI_StringDup(0x7fff7dddfdd0, 0x7fff7dddfddc, 0x13363f0, 0, 0)                                   = 0x1336540
849   0.000069 fgets("\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377"..., -1895559168, 0x1336170) = NULL
849   0.000083 fclose(0x1336090)                                                                                = 0
849   0.000107 getenv("JDK_ALTERNATE_VM")                                                                       = NULL
849   0.000063 JLI_MemAlloc(24, 0xffffff80, 7, 74, 0x7fe58f036700)                                              = 0x1336090
849   0.000069 strchr("server", '/')                                                                            = NULL
849   0.000066 __sprintf_chk(0x7fff7dde3080, 1, -1, 0x4078da, 0x7fff7dde2080)                                   = 64
849   0.000070 __xstat(1, "/usr/lib/jvm/java-6-openjdk-amd6"..., 0x7fff7dde0e90)                                = 0
849   0.000115 getenv("LD_LIBRARY_PATH")                                                                        = "/usr/lib/jvm/java-6-openjdk-amd6"...
849   0.000071 getgid()                                                                                         = 1000
849   0.000070 getegid()                                                                                        = 1000
849   0.000066 getuid()                                                                                         = 1000
849   0.000065 geteuid()                                                                                        = 1000
849   0.000098 JLI_StringDup(0x7fff7dde3080, 0x407911, 13, -1, 0x7fff7dde30b6)                                  = 0x13360b0
849   0.000071 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 153
849   0.000063 strlen("amd64")                                                                                  = 5
849   0.000056 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 37
849   0.000061 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 64
849   0.000061 JLI_MemAlloc(353, 0x7fff7dde30c1, 0, 48, 0x2f3436646d612f62)                                     = 0x1336100
849   0.000069 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/libjvm.so"
849   0.000065 __sprintf_chk(0x1336100, 1, -1, 0x407b90, 0x13360b0)                                             = 169
849   0.000070 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 153
849   0.000063 strncmp("/usr/lib/jvm/java-6-openjdk-amd6"..., "/usr/lib/jvm/java-6-openjdk-amd6"..., 153)       = 0
849   0.000067 dlopen("/usr/lib/jvm/java-6-openjdk-amd6"..., 258)                                               = 0x013365b0
849   0.003551 dlsym(0x013365b0, "JNI_CreateJavaVM")                                                            = 0x7fe58dab81e0
849   0.000086 dlsym(0x013365b0, "JNI_GetDefaultJavaVMInitArgs")                                                = 0x7fe58dab81a0
849   0.000074 getenv("CLASSPATH")                                                                              = NULL
849   0.000063 JLI_WildcardExpandClasspath(0x40790d, 0x407075, 0x40790d, 65, 65535)                             = 0x40790d
849   0.000079 strlen(".")                                                                                      = 1
849   0.000059 JLI_MemAlloc(41, 0, 1, 13, 0x407900)                                                             = 0x1338900
849   0.000069 __sprintf_chk(0x1338900, 1, -1, 0x406f36, 0x40790d)                                              = 19
849   0.000071 JLI_MemAlloc(64, 0, 0x1338913, 0, 0x406f4a)                                                      = 0x1338940
849   0.000081 JLI_StrCCmp(0x1338900, 0x406d53, 0, 2, 5)                                                        = 0xffffffec
849   0.000075 JLI_MemAlloc(33, -1, 0, 14, 5)                                                                   = 0x1338990
849   0.000070 strcat("-Dsun.java.command=", "ThreadSpawner")                                                   = "-Dsun.java.command=ThreadSpawner"
849   0.000077 JLI_StrCCmp(0x1338990, 0x406d53, 16, 2, 3)                                                       = 0xffffffec
849   0.000095 JLI_StrCCmp(0x407628, 0x406d53, 32, 2, 3)                                                        = 0xffffffec
849   0.000070 JLI_MemAlloc(45, 0x406d53, 1, 88, 3)                                                             = 0x13389c0
849   0.000075 getpid()                                                                                         = 849
849   0.000056 __sprintf_chk(0x13389c0, 1, -1, 0x407a3f, 0x407a26)                                              = 27
849   0.000074 JLI_StrCCmp(0x13389c0, 0x406d53, 48, 2, 0x407a43)                                                = 0xffffffec
849   0.000068 getenv("_JAVA_SPLASH_JAR")                                                                       = NULL
849   0.000062 getenv("_JAVA_SPLASH_FILE")                                                                      = NULL
849   0.000060 strchr("_JAVA_VERSION_SET", '=')                                                                 = NULL
849   0.000060 strchr("_JAVA_SPLASH_FILE", '=')                                                                 = NULL
849   0.000059 strchr("_JAVA_SPLASH_JAR", '=')                                                                  = NULL
849   0.000060 JLI_MemFree(0, 0, 76, 95, 0x7fe58e7f8548)                                                        = 0
849   0.000067 JLI_MemFree(0, 0, 76, 95, 0x7fe58e7f8548)                                                        = 0
849   0.000074 pthread_attr_init(0x7fff7dde0ef0, 0x100000, 0x7fff7dde1010, 0, 0x7fe58e7f8548)                   = 0
849   0.000078 pthread_attr_setdetachstate(0x7fff7dde0ef0, 0, 0, 0, 0x7fe58e7f8548)                             = 0
849   0.000071 pthread_attr_setstacksize(0x7fff7dde0ef0, 0x100000, 0, 0, 0x7fe58e7f8548)                        = 0
849   0.000073 pthread_create(0x7fff7dde0ee0, 0x7fff7dde0ef0, 0x403d70, 0x7fff7dde1010, 0x7fe58e7f8548)         = 0
849   0.000226 pthread_join(0x7fe58f034700, 0x7fff7dde0ee8, 0x7fe58f0349d0, -1, 0x7fe58f034700 <unfinished ...>
850   0.235597 JLI_MemFree(0x1338940, 0, 0x7fe58e206bb8, -1, 0x7fe58e220c80)                                    = 0
850   0.000427 JLI_MemFree(0x1336420, 10, 0, 0x7fe58e7f5740, 0x7fe58e220c80)                                    = 0x1338700
850   0.000481 JLI_MemFree(0x1336440, 0xffffffff, 0x1338700, 0x7fe58e7f5728, 0x7fe58e220c80)                    = 0x1336410
850   0.000085 JLI_MemFree(0x1336460, 0xffffffff, 0x1336410, 0x7fe58e7f5728, 0x7fe58e220c80)                    = 0x1336430
850   0.000077 JLI_MemFree(0x1336480, 0xffffffff, 0x1336430, 0x7fe58e7f5728, 0x7fe58e220c80)                    = 0x1336450
